name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2021-08-01,18,11.3,14.6,18,11.3,14.6,11.3,81.7,1.127,100,20.83,rain,0,0,22.3,10.2,7.8,1011.7,82.6,31.3,113.9,9.9,4,,2021-08-01T05:24:54,2021-08-01T21:04:41,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-02,18.3,10.4,14.4,18.3,10.4,14.4,10.4,77.7,0,0,0,,0,0,26.3,13.7,308.2,1014.8,69,38.5,133.7,11.8,4,,2021-08-02T05:26:33,2021-08-02T21:02:53,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-03,20.5,7.7,14.5,20.5,7.7,14.4,9.6,75.2,0,0,0,,0,0,22.7,10.9,314.9,1013.2,50.1,27.8,227.7,19.7,7,,2021-08-03T05:28:13,2021-08-03T21:01:03,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-04,20.8,9.1,15.3,20.8,8.9,15.3,11.8,81,2.446,100,16.67,rain,0,0,30.6,19,142.8,1012,60.2,20.6,225.3,19.5,8,,2021-08-04T05:29:53,2021-08-04T20:59:11,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-08-05,18.5,12.9,15.5,18.5,12.9,15.5,12.8,84.6,0.764,100,25,rain,0,0,51.8,31.1,153.4,1002.1,78.1,31.2,97.1,8.5,4,,2021-08-05T05:31:34,2021-08-05T20:57:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-06,18.8,14.4,16.1,18.8,14.4,16.1,13.3,84.5,7.979,100,45.83,rain,0,0,52.9,24.8,218.6,993.7,74.4,36.8,92.8,8.1,4,,2021-08-06T05:33:15,2021-08-06T20:55:23,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-07,16.8,12.7,14.5,16.8,12.7,14.5,12.5,87.9,5.865,100,25,rain,0,0,50.3,21.9,191,993.8,83.9,30.3,61.8,5.2,2,,2021-08-07T05:34:57,2021-08-07T20:53:26,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-08,16.7,14,15.1,16.7,14,15.1,13.1,88.6,22.99,100,45.83,rain,0,0,57,27.3,251.4,1000.2,78.3,28,66,5.7,3,,2021-08-08T05:36:39,2021-08-08T20:51:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F5450,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-09,19.2,12.7,15.4,19.2,12.7,15.4,11.7,79.4,0.833,100,12.5,rain,0,0,38.2,18.4,230.1,1008.5,69.1,43.3,154.8,13.3,7,,2021-08-09T05:38:22,2021-08-09T20:49:28,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-10,19.9,12.8,16.1,19.9,12.8,16.1,12.6,80.8,0.741,100,8.33,rain,0,0,41,18.7,276.1,1013.5,63.7,40.6,171.2,14.7,7,,2021-08-10T05:40:05,2021-08-10T20:47:27,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
